x,y,OBJECTID_1,OBJECTID,SETL_CODE,MGLSDE_LOC,MGLSDE_L_1,MGLSDE_L_2,MGLSDE_L_3,MGLSDE_L_4,lat,lon
3907223.942,3861208.086,19,19,890,כפר הנוער הדתי,566,34,ישובים מוסדיים יהודים,KEFAR HANO'AR HADATI,32.6740446913102,35.1082335282039
3916485.014,3901864.118,20,20,892,עבדון,465,31,מושבים (כפרים שיתופיים) (ב),AVDON,33.0180813126070,35.1821569402204
3940552.461,3853725.664,21,21,913,שבלי - אום אל-גנם,4400,28,"2000-9999 תושבים,ישובים לא יהודים",SHIBLI-UMM AL-GHANAM,32.6107274643000,35.3739927104348
3829640.201,3664944.881,22,22,916,ישע,148,31,מושבים (כפרים שיתופיים) (ב),YESHA,31.0132399366725,34.4866506886368
3924315.365,3877517.016,23,23,917,שגב,854,37,ישובים קהילתיים,SEGEV,32.8120529767495,35.2446143160401
3890362.157,3720123.976,24,24,919,גבעת ישעיהו,329,31,מושבים (כפרים שיתופיים) (ב),GIV'AT YESHA'YAHU,31.4801726151521,34.9734894650974
3898047.475,3822638.792,25,25,921,שער מנשה,1200,34,ישובים מוסדיים יהודים,SHA'AR MENASHE,32.3476663067665,35.0349276176404
3907504.342,3862430.415,26,26,922,רכסים,7750,18,"2000-9999 תושבים,ישובים יהודים",REKHASIM,32.6843881956629,35.1104725862023
3914661.819,3836701.667,27,27,934,ביאדה,274,45,ישובים כפריים אחרים לא יהודים,        BAYADA,32.4666681828733,35.1676085358549
3914851.295,3864459.614,28,28,942,סואעד (חמרייה),0,46,שבטי בדווים,SAWA'ID(HAMRIYYE),32.7015595406937,35.1691205839425
3912592.456,3860940.84,29,29,944,בסמת טבעון,5750,28,"2000-9999 תושבים,ישובים לא יהודים",BASMAT TAB'UN,32.6717832177072,35.1510930407620
3921021.55,3858899.101,30,30,975,זרזיר,5780,28,"2000-9999 תושבים,ישובים לא יהודים",ZARZIR,32.6545057550337,35.2183469138521
3917480.883,3861797.297,31,31,978,כעביה-טבאש-חג'אג'רה,3540,28,"2000-9999 תושבים,ישובים לא יהודים",KA'ABIYYE-TABBASH-HAJAJRE,32.6790306691200,35.1901026403185
3950714.467,3872739.882,32,32,993,חמאם,1190,45,ישובים כפריים אחרים לא יהודים,HAMAM,32.7716282486224,35.4548723224326
3917640.456,3856280.236,33,33,994,מנשית זבדה,887,45,ישובים כפריים אחרים לא יהודים,MANSHIYYET ZABDA,32.6323445858851,35.1913757567372
3929908.337,3866053.83,34,34,997,רומת הייב,1500,45,ישובים כפריים אחרים לא יהודים,RUMAT HEIB,32.7150500041287,35.2891999355942
3920994.524,3866595.437,35,35,998,ביר אל-מכסור,6440,28,"2000-9999 תושבים,ישובים לא יהודים",BIR EL-MAKSUR,32.7196331568999,35.2181313584110
3912939.042,3737108.313,36,36,1015,מבשרת ציון,20800,16,"20000-49999 תושבים,ישובים יהודים",MEVASSERET ZIYYON,31.6238962813249,35.1538593358581
3887282.566,3830376.056,37,37,1020,אור עקיבא,15700,17,"10000-19999 תושבים,ישובים יהודים",OR AQIVA,32.4131400406080,34.9488592132771
3881140.31,3793193.445,38,38,1024,חרוצים,694,35,ישובים כפריים יהודים אחרים,HARUZIM,32.0984959609631,34.8997147774760
3851403.454,3701237.662,39,39,1031,שדרות,19400,17,"10000-19999 תושבים,ישובים יהודים",SEDEROT,31.3203541707385,34.6614258027781
3867941.572,3728250.311,40,40,1034,קריית מלאכי,19100,17,"10000-19999 תושבים,ישובים יהודים",QIRYAT MAL'AKHI,31.5489387172829,34.7940241802537
3892250.196,3798475.682,41,41,1044,יעף,136,35,ישובים כפריים יהודים אחרים,YE'AF,32.1431949333441,34.9885866099238
3931154.338,3906683.992,42,42,1045,שתולה,219,31,מושבים (כפרים שיתופיים) (ב),SHETULA,33.0588677179278,35.2991297918809
3832957.112,3663563.643,43,43,1046,אוהד,199,31,מושבים (כפרים שיתופיים) (ב),OHAD,31.0015517213780,34.5133086879453
3940170.009,3882830.264,44,44,1047,חזון,350,31,מושבים (כפרים שיתופיים) (ב),HAZON,32.8570143698280,35.3709473800484
3877810.157,3769477.955,45,45,1049,רמת אפעל,2780,18,"2000-9999 תושבים,ישובים יהודים",RAMAT EF'AL,31.8978123958860,34.8730593376203
3886963.7,3748772.916,46,46,1050,בית חשמונאי,838,35,ישובים כפריים יהודים אחרים,BET HASHMONAY,31.7226036639624,34.9463085881614
3832657.488,3662433,47,47,1051,תלמי אליהו,200,31,מושבים (כפרים שיתופיים) (ב),TALME ELIYYAHU,30.9919840761236,34.5109009203917
3903009.403,3499634.101,48,48,1052,קטורה,393,33,קיבוצים,QETURA,29.6143586334063,35.0745729659964
3880617.085,3665005.135,49,49,1054,תל שבע,11200,27,"10000-19999 תושבים,ישובים לא יהודים",TEL SHEVA,31.0137498126389,34.8955272383317
3936743.56,3652569.951,50,50,1057,נווה זוהר,88,35,ישובים כפריים יהודים אחרים,NEWE ZOHAR,30.9085216769344,35.3436593285259
3831562.488,3662661.974,51,51,1058,שדה ניצן,281,31,מושבים (כפרים שיתופיים) (ב),SEDE NIZZAN,30.9939216812870,34.5021010036754
3905092.725,3664571.553,52,52,1059,כסיפה,7940,28,"2000-9999 תושבים,ישובים לא יהודים",KUSEIFE,31.0100807932692,35.0912135015919
3881127.831,3674878.303,53,53,1060,לקיה,6090,28,"2000-9999 תושבים,ישובים לא יהודים",LAQYE,31.0972978495698,34.8996149032384
3932107.984,3857470.131,54,54,1061,נצרת עילית,44290,16,"20000-49999 תושבים,ישובים יהודים",NAZERAT ILLIT,32.6424136286700,35.3067290395120
3882155.339,3766628.86,55,55,1062,נווה אפרים,22000,16,"20000-49999 תושבים,ישובים יהודים",YEHUD,31.8737029828525,34.9078378360774
3927588.098,3897671.047,56,56,1063,מעלות-תרשיחא,20650,16,"20000-49999 תושבים,ישובים יהודים",MA'ALOT-TARSHIHA,32.9825990056388,35.2707062392339
3946211.337,3887093.12,57,57,1064,אמירים,458,31,מושבים (כפרים שיתופיים) (ב),AMIRIM,32.8930872111033,35.4190405621000
3869490.493,3735661.506,58,58,1066,"בני עי""ש",7570,18,"2000-9999 תושבים,ישובים יהודים",BENE AYISH,31.6116532136505,34.8064335072489
3941766.49,3902454.301,59,59,1067,"דוב""ב",411,31,מושבים (כפרים שיתופיים) (ב),DOVEV,33.0230755182759,35.3836589162946
3920671.658,3906694.363,60,60,1068,אדמית,139,33,קיבוצים,ADAMIT,33.0589554809400,35.2155561688721
3925075.145,3832810.778,61,61,1069,רם-און,526,31,מושבים (כפרים שיתופיים) (ב),RAM-ON,32.4337429811315,35.2506723270110
3897915.557,3721568.247,62,62,1070,אביעזר,492,31,מושבים (כפרים שיתופיים) (ב),AVI'EZER,31.4923942191744,35.0338733786704
3896822.943,3720472.847,63,63,1071,נווה מיכאל,419,31,מושבים (כפרים שיתופיים) (ב),NEWE MIKHA'EL,31.4831248067975,35.0251411382031
3862885.704,3737624.9,64,64,1072,גן הדרום,361,31,מושבים (כפרים שיתופיים) (ב),GAN HADAROM,31.6282677073094,34.7535072656439
3888011.415,3789770.599,65,65,1076,בית ברל,256,34,ישובים מוסדיים יהודים,BET BERL,32.0695313895334,34.9546890551985
3889858.518,3718817.648,66,66,1079,צפרירים,283,31,מושבים (כפרים שיתופיים) (ב),ZAFRIRIM,31.4691182941606,34.9694618578787
3857672.201,3691226.274,67,67,1080,מבועים,964,35,ישובים כפריים יהודים אחרים,MABBU'IM,31.2356364998516,34.7117088831611
3928879.068,3905191.922,68,68,1081,אבן מנחם,309,31,מושבים (כפרים שיתופיים) (ב),EVEN MENAHEM,33.0462416306297,35.2809965022119
3851508.3,3684382.458,69,69,1082,מעגלים,1370,35,ישובים כפריים יהודים אחרים,MA'GALIM,31.1777232461838,34.6622670149952
3845053.305,3689206.007,70,70,1083,תושייה,719,35,ישובים כפריים יהודים אחרים,TUSHIYYA,31.2185407382006,34.6104625721460
3888141.633,3758031.589,71,71,1084,בן שמן (כפר נוער),638,34,ישובים מוסדיים יהודים,BEN SHEMEN(K.NO'AR),31.8009517653000,34.9557305906550
3816532.327,3662371.134,72,72,1085,כרם שלום,0,33,קיבוצים,KEREM SHALOM,30.9914605584407,34.3812298786727
3865194.315,3739632.666,73,73,1094,כרם יבנה (ישיבה),354,34,ישובים מוסדיים יהודים,KEREM YAVNE(YESHIVA),31.6452576875760,34.7720102633046
3937572.014,3854160.537,74,74,489,דבורייה,7690,28,"2000-9999 תושבים,ישובים לא יהודים",DABURIYYA,32.6144074135057,35.3502578272018
3925791.613,3887008.384,75,75,490,דיר אל-אסד,8290,28,"2000-9999 תושבים,ישובים לא יהודים",DEIR AL-ASAD,32.8923701615049,35.2563846366259
3937132.285,3877108.853,76,76,492,דייר חנא,7810,28,"2000-9999 תושבים,ישובים לא יהודים",DEIR HANNA,32.8085990484066,35.3467555189885
3890311.09,3733979.54,77,77,493,דייר ראפאת,50,44,ישובים מוסדיים לא יהודים,DEIR RAFAT,31.5974201943832,34.9730810862095
3902065.926,3854669.18,78,78,494,עיר כרמל,13300,27,"10000-19999 תושבים,ישובים לא יהודים",IR KARMEL,32.6187116161150,35.0670359654874
3934552.358,3897503.152,79,79,496,חורפיש,4880,28,"2000-9999 תושבים,ישובים לא יהודים",HURFEISH,32.9811782547429,35.3262044944500
3945701.562,3842829.925,80,80,497,טייבה (בעמק),1400,45,ישובים כפריים אחרים לא יהודים,TAYIBE(BAEMEQ),32.5185263057031,35.4149833689549
3937940.08,3865774.042,81,81,498,טורעאן,10300,27,"10000-19999 תושבים,ישובים לא יהודים",TUR'AN,32.7126823995475,35.3531892681826
3926871.783,3853458.694,82,82,499,יפיע,15400,27,"10000-19999 תושבים,ישובים לא יהודים",YAFI,32.6084683235906,35.2649960292082
3918687.382,3889252.602,83,83,502,ירכא,11600,27,"10000-19999 תושבים,ישובים לא יהודים",YIRKA,32.9113610289581,35.1997279719271
3919249.336,3878351.623,84,84,504,כאבול,8710,28,"2000-9999 תושבים,ישובים לא יהודים",KABUL,32.8191155258249,35.2042108492584
3923829.271,3872838.343,85,85,505,כאוכב אבו אל-היג'א,2580,28,"2000-9999 תושבים,ישובים לא יהודים",KAOKAB ABU AL-HIJA,32.7724614379658,35.2407383025600
3945162.09,3858400.582,86,86,508,כפר כמא,2710,28,"2000-9999 תושבים,ישובים לא יהודים",KAFAR KAMA,32.6502872244428,35.4106896280534
3934222.484,3861822.355,87,87,509,כפר כנא,16100,27,"10000-19999 תושבים,ישובים לא יהודים",KAFAR KANNA,32.6792427149055,35.3235764780925
3925514.492,3869903.973,88,88,510,כפר מנדא,13800,27,"10000-19999 תושבים,ישובים לא יהודים",KAFAR MANDA,32.7476304155400,35.2541752285225
3925336.376,3857954.936,89,89,511,עילוט,6030,28,"2000-9999 תושבים,ישובים לא יהודים",ILUT,32.6465161147272,35.2527551346138
3943245.123,3848347.735,90,90,512,כפר מצר,2080,28,"2000-9999 תושבים,ישובים לא יהודים",KAFAR MISR,32.5652187313923,35.3954305630869
3908833.758,3735820.255,91,91,514,עין ראפה,688,45,ישובים כפריים אחרים לא יהודים,EIN RAFA,31.6129965625564,35.1210875526190
3924543.001,3884777.768,92,92,516,שגור,11400,27,"10000-19999 תושבים,ישובים לא יהודים",SHAGHOR,32.8734944000228,35.2464293858298
3907158.388,3893230.502,93,93,517,מזרעה,3230,28,"2000-9999 תושבים,ישובים לא יהודים",MAZRA'A,32.9450225365698,35.1077100511299
3924817.603,3898896.317,94,94,518,מעיליא,2550,28,"2000-9999 תושבים,ישובים לא יהודים",MI'ELYA,32.9929674025393,35.2486188919264
3932025.661,3860996.835,95,95,520,משהד,6390,28,"2000-9999 תושבים,ישובים לא יהודים",MESHHED,32.6722570572623,35.3060730677888
3931643.622,3886657.151,96,96,522,נחף,9220,28,"2000-9999 תושבים,ישובים לא יהודים",NAHEF,32.8893979867808,35.3030287925273
3935035.82,3846406.218,97,97,523,ניין,1500,45,ישובים כפריים אחרים לא יהודים,NEIN,32.5487893620409,35.3300559744486
3939892.751,3843762.437,98,98,524,נאעורה,1560,45,ישובים כפריים אחרים לא יהודים,NA'URA,32.5264173412335,35.3687396158000
3934550.16,3887505.918,99,99,525,סאג'ור,3330,28,"2000-9999 תושבים,ישובים לא יהודים",SAJUR,32.8965803602071,35.3261869837311
3933439.409,3843206.701,100,100,526,סולם,2240,28,"2000-9999 תושבים,ישובים לא יהודים",SULAM,32.5217146299876,35.3173376277920
3935411.813,3886341.422,101,101,527,שזור,359,31,מושבים (כפרים שיתופיים) (ב),SHEZOR,32.8867262436221,35.3330511946473
3932319.596,3867485.058,102,102,528,עוזייר,2310,28,"2000-9999 תושבים,ישובים לא יהודים",UZEIR,32.7271612434197,35.3084152117224
3916850.334,3872319.733,103,103,529,אעבלין,10000,27,"10000-19999 תושבים,ישובים לא יהודים",I'BILLIN,32.7680728906082,35.1850717823353
3941035.112,3873456.946,104,104,530,עיילבון,4040,28,"2000-9999 תושבים,ישובים לא יהודים",EILABUN,32.7776961314863,35.3778357457289
3933895.353,3875560.1,105,105,531,עראבה,17900,27,"10000-19999 תושבים,ישובים לא יהודים",ARRABE,32.7954933003164,35.3209702419300
3930711.578,3901685.552,106,106,535,פסוטה,2860,28,"2000-9999 תושבים,ישובים לא יהודים",FASSUTA,33.0165702699415,35.2956013893930
3932402,3892463.04,107,107,536,פקיעין (בוקייעה),4760,28,"2000-9999 תושבים,ישובים לא יהודים",PEQI'IN (BUQEI'A),32.9385281708606,35.3090718223002
3890933.127,3842058.973,108,108,537,פוריידיס,9350,28,"2000-9999 תושבים,ישובים לא יהודים",FUREIDIS,32.5120024049440,34.9780553102680
3922306.801,3880840.68,109,109,538,שעב,5450,28,"2000-9999 תושבים,ישובים לא יהודים",SHA'AB,32.8401782513515,35.2285973688395
3930762.039,3867190.572,110,110,539,רומאנה,819,45,ישובים כפריים אחרים לא יהודים,RUMMANE,32.7246692660288,35.2960035310164
3950484.894,3901767.065,111,111,540,ריחאנייה,947,45,ישובים כפריים אחרים לא יהודים,REIHANIYYE,33.0172600418712,35.4530459250777
3886331.587,3833972.626,112,112,541,ג'סר א-זרקא,10200,27,"10000-19999 תושבים,ישובים לא יהודים",JISR AZ-ZARQA,32.4435746878823,34.9412520724721
3930535.71,3858397.341,113,113,542,ריינה,14400,27,"10000-19999 תושבים,ישובים לא יהודים",REINE,32.6502598041430,35.2941998470832
3937012.988,3887114.315,114,114,543,ראמה,7280,28,"2000-9999 תושבים,ישובים לא יהודים",RAME,32.8932665668459,35.3458053347259
3940643.781,3887388.253,115,115,546,עין אל-אסד,751,45,ישובים כפריים אחרים לא יהודים,EIN AL-ASAD,32.8955846660454,35.3747198448044
3885063.568,3805380.019,116,116,549,גנות הדר,233,35,ישובים כפריים יהודים אחרים,GANNOT HADAR,32.2016203267221,34.9311078821000
3868923.201,3720279.984,117,117,553,ניר בנים,540,31,מושבים (כפרים שיתופיים) (ב),NIR BANIM,31.4814927695361,34.8018887863653
3867436.719,3741317.014,118,118,555,שדמה,396,31,מושבים (כפרים שיתופיים) (ב),SHEDEMA,31.6595108568047,34.7899791526856
3905386.107,3888724.217,119,119,559,בוסתן הגליל,440,31,מושבים (כפרים שיתופיים) (ב),BUSTAN HAGALIL,32.9068897684594,35.0935566506326
3874280.46,3742910.46,120,120,562,בית אלעזרי,858,31,מושבים (כפרים שיתופיים) (ב),BET EL'AZARI,31.6729948008821,34.8447984515786
3885201.11,3740079.474,121,121,563,משמר דוד,242,33,קיבוצים,MISHMAR DAWID,31.6490386270439,34.9322082808243
3875751.209,3733426.301,122,122,564,רבדים,296,33,קיבוצים,REVADIM,31.5927386169355,34.8565751879790
3874801.732,3766307.319,123,123,565,אזור,9670,18,"2000-9999 תושבים,ישובים יהודים",AZOR,31.8709820680453,34.8489726010420
3890783.646,3733840.958,124,124,566,גבעת שמש,74,34,ישובים מוסדיים יהודים,GIV'AT SHEMESH,31.5962474977644,34.9768599889404
3892807.599,3732079.53,125,125,567,צרעה,701,33,קיבוצים,ZOR'A,31.5813420653338,34.9930432455519
3925341.951,3897592.087,126,126,570,מעונה,500,31,מושבים (כפרים שיתופיים) (ב),ME'ONA,32.9819308332498,35.2527995849638
3912332.612,3891428.025,127,127,572,בית העמק,444,33,קיבוצים,BET HAEMEQ,32.9297697402610,35.1490190292300
3848792.735,3713711.871,128,128,573,מבקיעים,229,32,מושבים שיתופיים,MAVQI'IM,31.4259125422800,34.6404767422109
3908439.784,3900759.94,129,129,574,גשר הזיו,491,33,קיבוצים,GESHER HAZIW,33.0087376159605,35.1179419222263
3914717.417,3882138.195,130,130,575,יסעור,269,33,קיבוצים,YAS'UR,32.8511579922072,35.1680522181004
3912517.136,3898012.955,131,131,576,כברי,728,33,קיבוצים,KABRI,32.9854922727112,35.1504918650301
3876375.013,3736789.212,132,132,577,יד בנימין,397,35,ישובים כפריים יהודים אחרים,YAD BINYAMIN,31.6211960062535,34.8615697272006
3944576.408,3903411.645,133,133,578,סאסא,371,33,קיבוצים,SASA,33.0311766922200,35.4060278621418
3908961.936,3906730.082,134,134,579,כפר ראש הנקרה,491,33,קיבוצים,KEFAR ROSH HANIQRA,33.0592577339483,35.1221109508857
3895080.056,3848446.058,135,135,580,"כרם מהר""ל",373,31,מושבים (כפרים שיתופיים) (ב),KEREM MAHARAL,32.5660507457947,35.0112101826033
3868243.125,3748484.618,136,136,582,כפר הנגיד,892,31,מושבים (כפרים שיתופיים) (ב),KEFAR HANAGID,31.7201640505212,34.7964402339555
3946572.484,3867065.324,137,137,585,לביא,640,33,קיבוצים,LAVI,32.7236093963001,35.4219147474400
3916421.921,3839626.444,138,138,586,מגידו,310,33,קיבוצים,MEGIDDO,32.4914180291931,35.1816535173613
3882598.936,3769438.416,139,139,587,סביון,2470,18,"2000-9999 תושבים,ישובים יהודים",SAVYON,31.8974778180327,34.9113876323915
3872906.982,3733153.358,140,140,588,בני ראם,822,31,מושבים (כפרים שיתופיים) (ב),BENE RE'EM,31.5904289385450,34.8337992586481
3911146.961,3904684.86,141,141,589,בצת,318,31,מושבים (כפרים שיתופיים) (ב),BEZET,33.0419507983800,35.1395548785284
3957724.804,3840737.996,142,142,590,נווה אור,393,33,קיבוצים,NEWE UR,32.5008241305995,35.5106263936286
3868049.972,3740309.568,143,143,591,עשרת,1080,35,ישובים כפריים יהודים אחרים,ASERET,31.6509857147959,34.7948926896354
3870817.7,3728469.843,144,144,593,ערוגות,688,31,מושבים (כפרים שיתופיים) (ב),ARUGOT,31.5507964249961,34.8170652538957
3880145.839,3763731.102,145,145,594,צפרייה,623,31,מושבים (כפרים שיתופיים) (ב),ZAFRIYYA,31.8491817802709,34.8917555534044
3907088.715,3890289.787,146,146,595,לוחמי הגיטאות,480,33,קיבוצים,LOHAME HAGETA'OT,32.9201378247686,35.1071536847626
3953059.504,3908303.922,147,147,596,מלכייה,305,33,קיבוצים,MALKIYYA,33.0725757747765,35.4735264474755
3863603.2,3754381.504,148,148,597,פלמחים,436,33,קיבוצים,PALMAHIM,31.7700642684107,34.7592582205248
3869602.988,3690840.586,149,149,598,בית קמה,216,33,קיבוצים,BET QAMA,31.2323727597326,34.8073347138073
3944468.791,3885671.998,150,150,599,פרוד,265,33,קיבוצים,PAROD,32.8810614929921,35.4051712516791
3828960.452,3676278.409,151,151,602,נירים,365,33,קיבוצים,NIRIM,31.1091457260329,34.4811866260719
3932216.69,3899725.912,152,152,603,אלקוש,334,31,מושבים (כפרים שיתופיים) (ב),ELQOSH,32.9999875356255,35.3075952418403
3888889.88,3762756.551,153,153,604,בית עריף,618,31,מושבים (כפרים שיתופיים) (ב),BET ARIF,31.8409350063458,34.9617151566649
3947063.146,3889554.497,154,154,605,כפר שמאי,308,31,מושבים (כפרים שיתופיים) (ב),KEFAR SHAMMAY,32.9139157002191,35.4258195457400
3887861.333,3770161.539,155,155,606,מזור,883,31,מושבים (כפרים שיתופיים) (ב),MAZOR,31.9035969723656,34.9534886303264
3945502.612,3894052.149,156,156,607,מירון,805,31,מושבים (כפרים שיתופיים) (ב),MERON,32.9519754231171,35.4133999182955
3945104.189,3896595.242,157,157,609,כפר חושן,579,31,מושבים (כפרים שיתופיים) (ב),KEFAR HOSHEN,32.9734954062266,35.4102287709135
3878934.138,3748976.04,158,158,610,סתרייה,844,31,מושבים (כפרים שיתופיים) (ב),SITRIYYA,31.7243225313938,34.8820568246236
3890372.458,3848779.45,159,159,612,צרופה,707,31,מושבים (כפרים שיתופיים) (ב),ZERUFA,32.5688719588085,34.9735718438192
3927186.736,3861820.758,160,160,613,ציפורי,456,31,מושבים (כפרים שיתופיים) (ב),ZIPPORI,32.6792292020903,35.2675067630165
3927912.861,3906543.936,161,161,614,שומרה,310,31,מושבים (כפרים שיתופיים) (ב),SHOMERA,33.0576825450888,35.2732950122763
3873463.24,3739107.023,162,162,615,קדרון,941,31,מושבים (כפרים שיתופיים) (ב),QIDRON,31.6408096234943,34.8382540798962
3888173.453,3769140.085,163,163,616,רינתיה,740,31,מושבים (כפרים שיתופיים) (ב),RINNATYA,31.8949532953200,34.9559851004454
3899442.32,3825846.566,164,164,617,ברקאי,327,33,קיבוצים,BARQAY,32.3748109113578,35.0460739998115
3888769.614,3759159.269,165,165,618,חדיד,555,31,מושבים (כפרים שיתופיים) (ב),HADID,31.8104943324549,34.9607532799934
3945916.175,3898298.58,166,166,487,ג'ש (גוש חלב),2560,28,"2000-9999 תושבים,ישובים לא יהודים",JISH(GUSH HALAV),32.9879092667595,35.4166914485313
3914243.004,3889119.482,167,167,507,כפר יאסיף,7820,28,"2000-9999 תושבים,ישובים לא יהודים",KAFAR YASIF,32.9102345464355,35.1642662234480
3909726.194,3736348.573,168,168,521,עין נקובא,1650,45,ישובים כפריים אחרים לא יהודים,EIN NAQQUBA,31.6174672615348,35.1282126962485
3935439.463,3858468.216,169,169,532,עין מאהל,9840,28,"2000-9999 תושבים,ישובים לא יהודים",EIN MAHEL,32.6508595545494,35.3332714590338
3941167.512,3846899.217,170,170,547,טמרה (יזרעאל),1160,45,ישובים כפריים אחרים לא יהודים,TAMRA (YIZRE'EL),32.5529611836754,35.3788899262613
3869612.732,3744590.721,171,171,571,בית גמליאל,702,31,מושבים (כפרים שיתופיים) (ב),BET GAMLI'EL,31.6872133854775,34.8074127702486
3842941.746,3712014.958,172,172,584,זיקים,344,33,קיבוצים,ZIQIM,31.4115530496638,34.5935101532581
3861968.154,3739766.107,173,173,592,בני דרום,300,32,מושבים שיתופיים,BENE DAROM,31.6463868768570,34.7461523037600
3884579.804,3712520.518,174,174,619,בית גוברין,231,33,קיבוצים,BET GUVRIN,31.4158311601129,34.9272374737114
3861793.087,3724370.925,175,175,620,משואות יצחק,548,32,מושבים שיתופיים,MASSU'OT YIZHAQ,31.5161108471725,34.7447489220583
3864858.023,3723390.259,176,176,622,עין צורים,527,33,קיבוצים,EN ZURIM,31.5078123230673,34.7693151839227
3891179.037,3783108.127,177,177,627,ג'לג'וליה,6860,28,"2000-9999 תושבים,ישובים לא יהודים",JALJULYE,32.0131526840350,34.9800217016599
3900396.466,3815820.118,178,178,628,גת,8650,28,"2000-9999 תושבים,ישובים לא יהודים",JATT,32.2899658085485,35.0536979374249
3892943.363,3780528.761,179,179,633,כפר ברא,2310,28,"2000-9999 תושבים,ישובים לא יהודים",KAFAR BARA,31.9913257587389,34.9941287017427
3893508.845,3778351.557,180,180,634,כפר קאסם,15700,27,"10000-19999 תושבים,ישובים לא יהודים",KAFAR QASEM,31.9729019756431,34.9986496643254
3929183.027,3830993.252,181,181,635,מוקייבלה,2810,28,"2000-9999 תושבים,ישובים לא יהודים",MUQEIBLE,32.4183628403516,35.2834191772076
3932080.834,3832139.404,182,182,636,צנדלה,1330,45,ישובים כפריים אחרים לא יהודים,SANDALA,32.4280617280753,35.3065127013633
3906398.983,3829234.411,183,183,637,ערערה,14500,27,"10000-19999 תושבים,ישובים לא יהודים",AR'ARA,32.4034792970949,35.1016457227921
3906532.737,3825599.002,184,184,639,ברטעה,2210,28,"2000-9999 תושבים,ישובים לא יהודים",BARTAA,32.3727159908187,35.1027138604871
3916839.92,3835624.628,185,185,640,זלפה,2740,28,"2000-9999 תושבים,ישובים לא יהודים",        ZALAFE,32.4575541477600,35.1849886934172
3913453.201,3834967.974,186,186,642,מוצמוץ,2650,28,"2000-9999 תושבים,ישובים לא יהודים",        MUSMUS,32.4519974509162,35.1579629658200
3907772.976,3833288.958,187,187,643,מועאוויה,2030,28,"2000-9999 תושבים,ישובים לא יהודים",        MU'AWIYE,32.4377893957800,35.1126176412831
3918295.811,3834842.055,188,188,644,סאלם,825,45,ישובים כפריים אחרים לא יהודים,        SALEM,32.4509319081023,35.1966041617475
3913619.187,3836215.626,189,189,645,מושיירפה,2160,28,"2000-9999 תושבים,ישובים לא יהודים",        MUSHEIRFE,32.4625552423943,35.1592877034762
3901533.793,3821250.655,190,190,648,מצר,370,33,קיבוצים,MEZER,32.3359197111906,35.0627847363299
